pasta,identifier,filename,Formato,titulo,size,Link
Ensino Fundamental e a BNCC,COPIA_DE_AULA_04_CINTIA_BORTOLOSSI_ENSINO_FUNDAMENTAL_E_BNCC,Cópia de AULA 04_Cíntia Bortolossi_ENSINO FUNDAMENTAL E BNCC,p4,AULA 04_Cíntia Bortolossi_ENSINO FUNDAMENTAL E BNCC.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/COPIA_DE_AULA_04_CINTIA_BORTOLOSSI_ENSINO_FUNDAMENTAL_E_BNCC/qualidade-720.mp4
"ESG-Environmental, Social and Governance",PARTE_02-ESG-ENVIRONMENTAL_SOCIAL_AND_GOVERNANCE,"Parte 02 - ESG-Environmental, Social and Governance",p4,"Parte 02 - ESG-Environmental, Social and Governance.mp4",1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/PARTE_02-ESG-ENVIRONMENTAL_SOCIAL_AND_GOVERNANCE/qualidade-720.mp4
"ESG-Environmental, Social and Governance",PARTE_01-ESG-ENVIRONMENTAL_SOCIAL_AND_GOVERNANCE,"Parte 01 - ESG-Environmental, Social and Governance",p4,"Parte 01 - ESG-Environmental, Social and Governance.mp4",1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/PARTE_01-ESG-ENVIRONMENTAL_SOCIAL_AND_GOVERNANCE/qualidade-720.mp4
Estudos de Rítmica e Dança,01-ESTUDOS_DE_RITMICA_E_DANCA-APRESENTACAO-VIDEOTECA_IESDE_EAD,01 - Estudos de Rítmica e Dança - Apresentação - Videoteca IESDE EAD,p4,01 - Estudos de Rítmica e Dança - Apresentação - Videoteca IESDE EAD.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/01-ESTUDOS_DE_RITMICA_E_DANCA-APRESENTACAO-VIDEOTECA_IESDE_EAD/qualidade-720.mp4
Estudos de Rítmica e Dança,02-ESTUDOS_DE_RITMICA_E_DANCA-ATIVIDADES_RITMICAS_E_EDUCACAO_FISICA-SECAO_01-VIDEOTECA,02 - Estudos de Rítmica e Dança - Atividades rítmicas e Educação Física - seção 01 - Videoteca,p4,02 - Estudos de Rítmica e Dança - Atividades rítmicas e Educação Física - seção 01 - Videoteca.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/02-ESTUDOS_DE_RITMICA_E_DANCA-ATIVIDADES_RITMICAS_E_EDUCACAO_FISICA-SECAO_01-VIDEOTECA/qualidade-720.mp4
Estudos de Rítmica e Dança,03-ESTUDOS_DE_RITMICA_E_DANCA-ATIVIDADES_RITMICAS_E_EDUCACAO_FISICA-SECAO_02-VIDEOTECA,03 - Estudos de Rítmica e Dança - Atividades rítmicas e Educação Física - seção 02 - Videoteca,p4,03 - Estudos de Rítmica e Dança - Atividades rítmicas e Educação Física - seção 02 - Videoteca.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/03-ESTUDOS_DE_RITMICA_E_DANCA-ATIVIDADES_RITMICAS_E_EDUCACAO_FISICA-SECAO_02-VIDEOTECA/qualidade-720.mp4
Estudos de Rítmica e Dança,04-ESTUDOS_DE_RITMICA_E_DANCA-ATIVIDADES_RITMICAS_E_EDUCACAO_FISICA-SECAO_03-VIDEOTECA,04 - Estudos de Rítmica e Dança - Atividades rítmicas e Educação Física - seção 03 - Videoteca,p4,04 - Estudos de Rítmica e Dança - Atividades rítmicas e Educação Física - seção 03 - Videoteca.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/04-ESTUDOS_DE_RITMICA_E_DANCA-ATIVIDADES_RITMICAS_E_EDUCACAO_FISICA-SECAO_03-VIDEOTECA/qualidade-720.mp4
Estudos de Rítmica e Dança,05-ESTUDOS_DE_RITMICA_E_DANCA-DANCA_NO_OCIDENTE_COMO_CHEGAMOS_ATE_AQUI-SECAO_01-VIDEOT,05 - Estudos de Rítmica e Dança - Dança no Ocidente como chegamos até aqui - seção 01 - Videot,p4,05 - Estudos de Rítmica e Dança - Dança no Ocidente como chegamos até aqui - seção 01 - Videot.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/05-ESTUDOS_DE_RITMICA_E_DANCA-DANCA_NO_OCIDENTE_COMO_CHEGAMOS_ATE_AQUI-SECAO_01-VIDEOT/qualidade-720.mp4
Estudos de Rítmica e Dança,06-ESTUDOS_DE_RITMICA_E_DANCA-DANCA_NO_OCIDENTE_COMO_CHEGAMOS_ATE_AQUI-SECAO_02-VIDEOT-1,06 - Estudos de Rítmica e Dança - Dança no Ocidente como chegamos até aqui - seção 02 - Videot-1,p4,06 - Estudos de Rítmica e Dança - Dança no Ocidente como chegamos até aqui - seção 02 - Videot-1.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/06-ESTUDOS_DE_RITMICA_E_DANCA-DANCA_NO_OCIDENTE_COMO_CHEGAMOS_ATE_AQUI-SECAO_02-VIDEOT-1/qualidade-720.mp4
Estudos de Rítmica e Dança,07-ESTUDOS_DE_RITMICA_E_DANCA-DANCA_NO_OCIDENTE_COMO_CHEGAMOS_ATE_AQUI-SECAO_03-VIDEOT,07 - Estudos de Rítmica e Dança - Dança no Ocidente como chegamos até aqui - seção 03 - Videot,p4,07 - Estudos de Rítmica e Dança - Dança no Ocidente como chegamos até aqui - seção 03 - Videot.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/07-ESTUDOS_DE_RITMICA_E_DANCA-DANCA_NO_OCIDENTE_COMO_CHEGAMOS_ATE_AQUI-SECAO_03-VIDEOT/qualidade-720.mp4
